id,estimulo,tiempo
-M7CK4ZwOI0zaNF9xlA8,Ciencia de datos,1589361402499
-M7CnrDaD3w62__AtHjd,Inteligencia artificial,1589369454886
-M7DXUUllX7xxVfAJxOM,Ciencia de datos,1589381576888
-M7DxhKMmdUrPp5ezZEn,Ciencia de datos,1589388746768
-M7ExPpHWkWfIiUNIhPX,Ciencia de datos,1589405440931
-M7GC-r9_0clU1VmSHX-,Inteligencia artificial,1589426359683
-M7GCIgDemtrmBI_oH9q,Ciencia de datos,1589426454259
-M7J1bsupWk8MK9mjlN4,Inteligencia artificial,1589473867398
-M7JCZD_J7kGUKU3_Yvr,Ciencia de datos,1589476242870
-M7JmPhXypDTXgnQzG7R,Big data,1589486251310
-M7L0sptMAxfR-8H1f__,Big data,1589489345426
-M7LOnd3ABiIHA8oOGPN,Ciencia de datos,1589513258599
-M7M9SpfDAyFtitageb8,Big data,1589526292253
-M7NOCQmQXK1JWlpl3ym,Ciencia de datos,1589546854121
-M7OrYtgcZdg9EkhavZW,Big data,1589571639903
-M7PaJRgR_0iiNtJgx67,Inteligencia artificial,1589583509445
-M7QTou1Fi7JHVKooVe5,Inteligencia artificial,1589598691479
-M7QeeMBW5LwDup1jFYn,Inteligencia artificial,1589601691908
-M7TkcZIegd82PnnRIbp,Big data,1589653735394
-M7VWRKRJ9RDIsukwiM5,Big data,1589683271210
-M7VabHMfD7K-3qz7qZw,Ciencia de datos,1589683770901
-M7VlLywO0HVwXPP1reZ,Conocimiento,1589687583273
-M7VqzJDHqFpuV2gApuU,Inteligencia artificial,1589689068048
-M7WZow_SW7rJPx4H5YL,Conocimiento,1589700950233
-M7_aGS7jBQHsugFYefA,Big data,1589768228688
-M7efCTT-6V9kSTDrLru,Big data,1589853620793
-M7f8IVYgt494Mu5npHC,Big data,1589861495492
-M7fK3INqAfoTPSc2Xf9,Big data,1589864751150
-M7i1NYVISNV88VCzm0M,Big data,1589906327616
-M7iRMbYszd2USiZADYg,Big data,1589916560841
-M7j7ikHFA5J707rWJKm,Inteligencia artificial,1589928423889
-M7m4ADwGYqBPZhb6CO7,Ciencia de datos,1589977907456
-M7m_niihL2iWzF4Vdze,Conocimiento,1589986514171
-M7oXXQspTejbmqMgf9j,Inteligencia artificial,1590019186671
-M7owHzfUkEz15B9nRDS,Conocimiento,1590025927143
-M7t9-UX80Czh95pfmu5,Inteligencia artificial,1590096280409
-M7uTFrfzCmWBtGFMvR7,Big data,1590118743287
-M7xrhauwqo0C11_DjEb,Inteligencia artificial,1590175356420
-M7yQGVYH9xt4Jw0AE3Q,Inteligencia artificial,1590184764767
-M7z4In1Jppqwk8SJ9Og,Inteligencia artificial,1590195943940
-M8-AjthWoLIbai0yY45,Inteligencia artificial,1590214497211
-M80VF1jrKOC48ZlLqq6,Inteligencia artificial,1590236759916
-M84vUtyVPBKpnBOwmfj,Big data,1590310923233
-M8k5rFgbZkuld-qoXl4,Big data,1591018461778
-M8kBykCTrGkUL_AVXdS,Big data,1591020183546
-M8kNBsVW19H-qJq3aJ6,Big data,1591022945114
-M8kkaZwPDm57tmr3M0N,Inteligencia artificial,1591029225281
-M8ko1pc4ZScEYkz2fh0,Big data,1591030395279
